failure_category,short_reason,failures,affected_projects
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 1 project -> [Help 1],2277,43
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-registry-data-model: Could not resolve dependencies for project org.apache.nifi.registry:nifi-registry-data-model:jar:1.18.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.18.0-SNAPSHOT (compile),100,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-openwire-legacy: Could not resolve dependencies for project org.apache.activemq:activemq-openwire-legacy:jar:5.17.0-SNAPSHOT | [ERROR] dependency: org.apache.activemq:activemq-client:jar:5.17.0-SNAPSHOT (compile),96,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal org.apache.maven.plugins:maven-dependency-plugin:3.1.1:tree (default-cli) on project nifi-syslog-utils: Cannot build project dependency graph: Could not resolve nor collect following dependencies: [com.github.palindromicity:simple-syslog-5424:jar:0.0.13 (compile)]: Could not resolve dependencies for project org.apache.nifi:nifi-syslog-utils:jar:1.12.0-SNAPSHOT | [ERROR] dependency: com.github.palindromicity:simple-syslog-5424:jar:0.0.13 (compile),95,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project giraph-gremlin: Could not collect dependencies for project com.tinkerpop:giraph-gremlin:jar:3.0.0-SNAPSHOT | [ERROR] Failed to read artifact descriptor for org.apache.giraph:giraph-core:jar:1.0.0,91,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-framework-api: Could not resolve dependencies for project org.apache.nifi:nifi-framework-api:jar:1.10.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.10.0-SNAPSHOT (compile),91,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-registry-data-model: Could not resolve dependencies for project org.apache.nifi.registry:nifi-registry-data-model:jar:1.19.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.19.0-SNAPSHOT (compile),89,1
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 5 projects -> [Help 1],88,8
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project gremlin-core: Could not resolve dependencies for project org.apache.tinkerpop:gremlin-core:jar:3.0.0-SNAPSHOT | [ERROR] dependency: org.apache.tinkerpop:gremlin-shaded:jar:3.0.0-SNAPSHOT (compile),80,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-registry-data-model: Could not resolve dependencies for project org.apache.nifi.registry:nifi-registry-data-model:jar:1.20.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.20.0-SNAPSHOT (compile),80,1
MAVEN_GOAL_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal org.apache.maven.plugins:maven-dependency-plugin:2.6:tree (default-cli) on project undertow-build-config: Execution default-cli of goal org.apache.maven.plugins:maven-dependency-plugin:2.6:tree failed: A required class was missing while executing org.apache.maven.plugins:maven-dependency-plugin:2.6:tree: org/sonatype/aether/version/VersionConstraint | [ERROR] -----------------------------------------------------,79,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-framework-api: Could not resolve dependencies for project org.apache.nifi:nifi-framework-api:jar:1.2.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.2.0-SNAPSHOT (compile),74,1
DNS_OR_HOST_ERROR,"[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] Non-resolvable import POM: The following artifacts could not be resolved: com.amazonaws:aws-java-sdk-bom:pom:1.11.916 (absent): Could not transfer artifact com.amazonaws:aws-java-sdk-bom:pom:1.11.916 from/to central (https://repo.maven.apache.org/maven2): repo.maven.apache.org: Temporary failure in name resolution @ line 976, column 19",74,1
MAVEN_GOAL_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project psi-probe-core: Could not collect dependencies for project com.github.psi-probe:psi-probe-core:jar:3.0.0-SNAPSHOT | [ERROR] Failed to read artifact descriptor for com.oracle:ucp:jar:12.1.0.2,71,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-utils: Could not resolve dependencies for project org.apache.nifi:nifi-utils:jar:1.0.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-security-utils:jar:1.0.0-SNAPSHOT (compile),70,1
