Name,Support,Line Count,Lines,Bindings
SAPAdaptiveServer -> InSapHana -> SapHana & OutSAPAdaptiveServer,0.00425531914893617,1,210,X = SAPAdaptiveServer; Y = SapHana
SAPAdaptiveServer -> InEtcd -> Etcd & OutSAPAdaptiveServer,0.00851063829787234,2,69; 63,X = SAPAdaptiveServer; Y = Etcd
SAPSQLAnywhere -> InSapHana -> SapHana & OutSAPSQLAnywhere,0.00425531914893617,1,210,X = SAPSQLAnywhere; Y = SapHana
SAPSQLAnywhere -> InEtcd -> Etcd & OutSAPSQLAnywhere,0.00851063829787234,2,69; 63,X = SAPSQLAnywhere; Y = Etcd
Firebird -> InCassandra -> Cassandra & OutFirebird,0.00425531914893617,1,161,X = Firebird; Y = Cassandra
Firebird -> InEtcd -> Etcd & OutFirebird,0.00425531914893617,1,63,X = Firebird; Y = Etcd
Snowflake -> InEtcd -> Etcd & OutSnowflake,0.00425531914893617,1,63,X = Snowflake; Y = Etcd
HyperSQL -> InClickHouse -> ClickHouse & OutHyperSQL,0.00425531914893617,1,113,X = HyperSQL; Y = ClickHouse
IBM_DB2 -> InEtcd -> Etcd & OutIBM_DB2,0.00425531914893617,1,63,X = IBM_DB2; Y = Etcd
SapHana -> InInformix -> Informix & OutSapHana,0.00425531914893617,1,156,X = SapHana; Y = Informix
SapHana -> InSQLite -> SQLite & OutSapHana,0.00425531914893617,1,156,X = SapHana; Y = SQLite
SapHana -> InEtcd -> Etcd & OutSapHana,0.00425531914893617,1,63,X = SapHana; Y = Etcd
Informix -> InNeo4j -> Neo4j & OutInformix,0.00425531914893617,1,161,X = Informix; Y = Neo4j
MS_Access -> InRedis -> Redis & OutMS_Access,0.00425531914893617,1,140,X = MS_Access; Y = Redis
Couchbase -> InFirebaseRealtime -> FirebaseRealtime & OutCouchbase,0.00425531914893617,1,77,X = Couchbase; Y = FirebaseRealtime
CouchDB -> InFirebaseRealtime -> FirebaseRealtime & OutCouchDB,0.00425531914893617,1,77,X = CouchDB; Y = FirebaseRealtime
CouchDB -> InMicrosoftAzureCosmosDB -> MicrosoftAzureCosmosDB & OutCouchDB,0.00425531914893617,1,77,X = CouchDB; Y = MicrosoftAzureCosmosDB
CouchDB -> InInflux_DB -> Influx_DB & OutCouchDB,0.00425531914893617,1,77,X = CouchDB; Y = Influx_DB
FirebaseRealtime -> InCassandra -> Cassandra & OutFirebaseRealtime,0.00425531914893617,1,84,X = FirebaseRealtime; Y = Cassandra
FirebaseRealtime -> InOracle -> Oracle & OutFirebaseRealtime,0.00425531914893617,1,84,X = FirebaseRealtime; Y = Oracle
Teradata -> InMongoDB -> MongoDB & OutTeradata,0.00425531914893617,1,113,X = Teradata; Y = MongoDB
SQLite -> InPostGIS -> PostGIS & OutSQLite,0.00425531914893617,1,113,X = SQLite; Y = PostGIS
SAPAdaptiveServer -> InIngres -> Ingres & OutSAPAdaptiveServer,0.00425531914893617,1,153,X = SAPAdaptiveServer; Y = Ingres
SAPSQLAnywhere -> InIngres -> Ingres & OutSAPSQLAnywhere,0.00425531914893617,1,153,X = SAPSQLAnywhere; Y = Ingres
Teradata -> InPostGIS -> PostGIS & OutTeradata,0.00425531914893617,1,113,X = Teradata; Y = PostGIS
Teradata -> InClickHouse -> ClickHouse & OutTeradata,0.00425531914893617,1,113,X = Teradata; Y = ClickHouse
MS_Access -> InMongoDB -> MongoDB & OutMS_Access,0.00425531914893617,1,140,X = MS_Access; Y = MongoDB
SapHana -> InIngres -> Ingres & OutSapHana,0.00425531914893617,1,156,X = SapHana; Y = Ingres
Ingres -> InPostGIS -> PostGIS & OutIngres,0.00425531914893617,1,153,X = Ingres; Y = PostGIS
Ingres -> InSAPAdaptiveServer -> SAPAdaptiveServer & OutIngres,0.00851063829787234,2,153; 114,X = Ingres; Y = SAPAdaptiveServer
Ingres -> InSAPSQLAnywhere -> SAPSQLAnywhere & OutIngres,0.00851063829787234,2,153; 114,X = Ingres; Y = SAPSQLAnywhere
Ingres -> InTeradata -> Teradata & OutIngres,0.00425531914893617,1,114,X = Ingres; Y = Teradata
Ingres -> InSapHana -> SapHana & OutIngres,0.00425531914893617,1,114,X = Ingres; Y = SapHana
Teradata -> InHazelcast -> Hazelcast & OutTeradata,0.00425531914893617,1,113,X = Teradata; Y = Hazelcast
Realm -> InMongoDB -> MongoDB & OutRealm,0.00425531914893617,1,149,X = Realm; Y = MongoDB
Realm -> InMySQL -> MySQL & OutRealm,0.00425531914893617,1,149,X = Realm; Y = MySQL
Realm -> InMarkLogic -> MarkLogic & OutRealm,0.00425531914893617,1,149,X = Realm; Y = MarkLogic
Ingres -> InHBase -> HBase & OutIngres,0.00425531914893617,1,153,X = Ingres; Y = HBase
Teradata -> InCassandra -> Cassandra & OutTeradata,0.00425531914893617,1,161,X = Teradata; Y = Cassandra
Teradata -> InNeo4j -> Neo4j & OutTeradata,0.00425531914893617,1,161,X = Teradata; Y = Neo4j
SAPAdaptiveServer -> InArangoDB -> ArangoDB & OutSAPAdaptiveServer,0.00425531914893617,1,210,X = SAPAdaptiveServer; Y = ArangoDB
SAPSQLAnywhere -> InArangoDB -> ArangoDB & OutSAPSQLAnywhere,0.00425531914893617,1,210,X = SAPSQLAnywhere; Y = ArangoDB
