Name,Support,Line Count,Lines,Bindings
Hazelcast -> InGoogleCloudDatastore -> OutHazelcast & GoogleCloudDatastore,0.004291845493562232,1,81,X = Hazelcast; Y = GoogleCloudDatastore
Hazelcast -> InRedis -> OutHazelcast & Redis,0.008583690987124463,2,132; 45,X = Hazelcast; Y = Redis
HyperSQL -> InMongoDB -> OutHyperSQL & MongoDB,0.017167381974248927,4,112; 210; 44; 133,X = HyperSQL; Y = MongoDB
HyperSQL -> InCassandra -> OutHyperSQL & Cassandra,0.004291845493562232,1,159,X = HyperSQL; Y = Cassandra
MongoDB -> InPostgreSQL -> OutMongoDB & PostgreSQL,0.008583690987124463,2,147; 5,X = MongoDB; Y = PostgreSQL
MongoDB -> InOracle -> OutMongoDB & Oracle,0.004291845493562232,1,5,X = MongoDB; Y = Oracle
Redis -> InMongoDB -> OutRedis & MongoDB,0.004291845493562232,1,138,X = Redis; Y = MongoDB
Redis -> InCassandra -> OutRedis & Cassandra,0.004291845493562232,1,47,X = Redis; Y = Cassandra
Cassandra -> InRedis -> OutCassandra & Redis,0.004291845493562232,1,47,X = Cassandra; Y = Redis
Cassandra -> InMySQL -> OutCassandra & MySQL,0.004291845493562232,1,47,X = Cassandra; Y = MySQL
Cassandra -> InPostgreSQL -> OutCassandra & PostgreSQL,0.012875536480686695,3,59; 5; 47,X = Cassandra; Y = PostgreSQL
Cassandra -> InOracle -> OutCassandra & Oracle,0.004291845493562232,1,47,X = Cassandra; Y = Oracle
MySQL -> InMongoDB -> OutMySQL & MongoDB,0.004291845493562232,1,44,X = MySQL; Y = MongoDB
MySQL -> InCassandra -> OutMySQL & Cassandra,0.004291845493562232,1,57,X = MySQL; Y = Cassandra
PostgreSQL -> InMongoDB -> OutPostgreSQL & MongoDB,0.004291845493562232,1,133,X = PostgreSQL; Y = MongoDB
PostgreSQL -> InCassandra -> OutPostgreSQL & Cassandra,0.008583690987124463,2,59; 159,X = PostgreSQL; Y = Cassandra
Oracle -> InRedis -> OutOracle & Redis,0.008583690987124463,2,136; 47,X = Oracle; Y = Redis
Oracle -> InCassandra -> OutOracle & Cassandra,0.008583690987124463,2,59; 159,X = Oracle; Y = Cassandra
DynamoDB -> InMongoDB -> OutDynamoDB & MongoDB,0.004291845493562232,1,69,X = DynamoDB; Y = MongoDB
CouchDB -> InH2 -> OutCouchDB & H2,0.004291845493562232,1,76,X = CouchDB; Y = H2
DynamoDB -> InMySQL -> OutDynamoDB & MySQL,0.004291845493562232,1,69,X = DynamoDB; Y = MySQL
MySQL -> InDynamoDB -> OutMySQL & DynamoDB,0.004291845493562232,1,44,X = MySQL; Y = DynamoDB
H2 -> InDynamoDB -> OutH2 & DynamoDB,0.004291845493562232,1,72,X = H2; Y = DynamoDB
PostgreSQL -> InDynamoDB -> OutPostgreSQL & DynamoDB,0.008583690987124463,2,59; 133,X = PostgreSQL; Y = DynamoDB
Oracle -> InDynamoDB -> OutOracle & DynamoDB,0.004291845493562232,1,59,X = Oracle; Y = DynamoDB
PostGIS -> InOracle -> OutPostGIS & Oracle,0.004291845493562232,1,99,X = PostGIS; Y = Oracle
DynamoDB -> InCassandra -> OutDynamoDB & Cassandra,0.004291845493562232,1,69,X = DynamoDB; Y = Cassandra
Cassandra -> InDynamoDB -> OutCassandra & DynamoDB,0.004291845493562232,1,47,X = Cassandra; Y = DynamoDB
Cassandra -> InHazelcast -> OutCassandra & Hazelcast,0.004291845493562232,1,59,X = Cassandra; Y = Hazelcast
Cassandra -> InH2 -> OutCassandra & H2,0.004291845493562232,1,47,X = Cassandra; Y = H2
HBase -> InCassandra -> OutHBase & Cassandra,0.004291845493562232,1,44,X = HBase; Y = Cassandra
HBase -> InH2 -> OutHBase & H2,0.012875536480686695,3,44; 68; 39,X = HBase; Y = H2
Hazelcast -> InHBase -> OutHazelcast & HBase,0.004291845493562232,1,45,X = Hazelcast; Y = HBase
H2 -> InCassandra -> OutH2 & Cassandra,0.004291845493562232,1,72,X = H2; Y = Cassandra
H2 -> InHBase -> OutH2 & HBase,0.004291845493562232,1,205,X = H2; Y = HBase
GoogleCloudDatastore -> InDynamoDB -> OutGoogleCloudDatastore & DynamoDB,0.008583690987124463,2,44; 133,X = GoogleCloudDatastore; Y = DynamoDB
MySQL -> InGoogleCloudDatastore -> OutMySQL & GoogleCloudDatastore,0.004291845493562232,1,44,X = MySQL; Y = GoogleCloudDatastore
GoogleCloudDatastore -> InMongoDB -> OutGoogleCloudDatastore & MongoDB,0.008583690987124463,2,44; 133,X = GoogleCloudDatastore; Y = MongoDB
MongoDB -> InGoogleCloudDatastore -> OutMongoDB & GoogleCloudDatastore,0.004291845493562232,1,180,X = MongoDB; Y = GoogleCloudDatastore
DynamoDB -> InHyperSQL -> OutDynamoDB & HyperSQL,0.004291845493562232,1,69,X = DynamoDB; Y = HyperSQL
