Name,Support,Line Count,Bindings,Source
~OutSinglestore,0.01702127659574468,4,X = Singlestore,~OutX -v X
~OutClickHouse,0.04680851063829787,11,X = ClickHouse,~OutX -v X
~OutMicrosoftAzureCosmosDB,0.029787234042553193,7,X = MicrosoftAzureCosmosDB,~OutX -v X
~OutArangoDB,0.01702127659574468,4,X = ArangoDB,~OutX -v X
~OutCouchbase,0.02127659574468085,5,X = Couchbase,~OutX -v X
~OutisLast,0.02127659574468085,5,X = isLast,~OutX -v X
~OutTeradata,0.03404255319148936,8,X = Teradata,~OutX -v X
~OutMS_Access,0.029787234042553193,7,X = MS_Access,~OutX -v X
~OutVertica,0.00851063829787234,2,X = Vertica,~OutX -v X
~OutKdb,0.01276595744680851,3,X = Kdb,~OutX -v X
~OutSapHana,0.03404255319148936,8,X = SapHana,~OutX -v X
~OutImpala,0.00425531914893617,1,X = Impala,~OutX -v X
~OutJoin_Ignite_Sql,0.00851063829787234,2,X = Join_Ignite_Sql,~OutX -v X
~OutMicrosoftAzureTableStorage,0.00425531914893617,1,X = MicrosoftAzureTableStorage,~OutX -v X
$X,0.8595744680851064,202,,$X -v X
$Oracle,0.33617021276595743,79,X = Oracle,$X -v X
$HyperSQL,0.23829787234042554,56,X = HyperSQL,$X -v X
$MS_SQL_Server,0.23404255319148937,55,X = MS_SQL_Server,$X -v X
$MySQL,0.4765957446808511,112,X = MySQL,$X -v X
$SAPAdaptiveServer,0.059574468085106386,14,X = SAPAdaptiveServer,$X -v X
$IBM_DB2,0.13191489361702127,31,X = IBM_DB2,$X -v X
$SAPSQLAnywhere,0.06382978723404255,15,X = SAPSQLAnywhere,$X -v X
$Hazelcast,0.07234042553191489,17,X = Hazelcast,$X -v X
$PostgreSQL,0.39574468085106385,93,X = PostgreSQL,$X -v X
$H2,0.3829787234042553,90,X = H2,$X -v X
$Etcd,0.029787234042553193,7,X = Etcd,$X -v X
$HBase,0.06382978723404255,15,X = HBase,$X -v X
$SQLite,0.12340425531914893,29,X = SQLite,$X -v X
$Redis,0.3446808510638298,81,X = Redis,$X -v X
$GoogleCloudDatastore,0.1276595744680851,30,X = GoogleCloudDatastore,$X -v X
$Cassandra,0.09361702127659574,22,X = Cassandra,$X -v X
$MongoDB,0.1829787234042553,43,X = MongoDB,$X -v X
$Realm,0.00851063829787234,2,X = Realm,$X -v X
$DynamoDB,0.12340425531914893,29,X = DynamoDB,$X -v X
$CouchDB,0.00851063829787234,2,X = CouchDB,$X -v X
$Riak_KV,0.00851063829787234,2,X = Riak_KV,$X -v X
$PostGIS,0.0425531914893617,10,X = PostGIS,$X -v X
$FirebaseRealtime,0.01702127659574468,4,X = FirebaseRealtime,$X -v X
$Informix,0.0425531914893617,10,X = Informix,$X -v X
$MarkLogic,0.05106382978723404,12,X = MarkLogic,$X -v X
$Firebird,0.04680851063829787,11,X = Firebird,$X -v X
$Ingres,0.02127659574468085,5,X = Ingres,$X -v X
$Join_Ignite_NoSql,0.01702127659574468,4,X = Join_Ignite_NoSql,$X -v X
$Snowflake,0.03404255319148936,8,X = Snowflake,$X -v X
$Neo4j,0.04680851063829787,11,X = Neo4j,$X -v X
$Influx_DB,0.02553191489361702,6,X = Influx_DB,$X -v X
$GoogleCloudFilestore,0.01276595744680851,3,X = GoogleCloudFilestore,$X -v X
$Singlestore,0.01702127659574468,4,X = Singlestore,$X -v X
$ClickHouse,0.04680851063829787,11,X = ClickHouse,$X -v X
$MicrosoftAzureCosmosDB,0.029787234042553193,7,X = MicrosoftAzureCosmosDB,$X -v X
$ArangoDB,0.02127659574468085,5,X = ArangoDB,$X -v X
$Couchbase,0.02553191489361702,6,X = Couchbase,$X -v X
$isLast,0.02127659574468085,5,X = isLast,$X -v X
$Teradata,0.03404255319148936,8,X = Teradata,$X -v X
$MS_Access,0.029787234042553193,7,X = MS_Access,$X -v X
$Vertica,0.00851063829787234,2,X = Vertica,$X -v X
$Kdb,0.01276595744680851,3,X = Kdb,$X -v X
$Aerospike,0.00425531914893617,1,X = Aerospike,$X -v X
$SapHana,0.03829787234042553,9,X = SapHana,$X -v X
$Impala,0.00425531914893617,1,X = Impala,$X -v X
$Join_Ignite_Sql,0.00851063829787234,2,X = Join_Ignite_Sql,$X -v X
$MicrosoftAzureTableStorage,0.00425531914893617,1,X = MicrosoftAzureTableStorage,$X -v X
