db,release,cve,published_at,resolved_at,first_patched_version,projects,resolution_days,has_publication_date,has_resolution_date,has_first_patched_release,resolution_bucket
Cassandra,1.0.7,CVE-2020-17516,2021-02-03 17:15:13.123000+00:00,2021-02-01 00:00:00+00:00,3.0.24; 3.11.10,1,-2.7189018865740744,True,True,True,Before disclosure
Cassandra,1.0.7,CVE-2025-23015,2025-02-04 12:30:59+00:00,2025-01-27 10:49:02+00:00,3.0.31,1,-8.070798611111112,True,True,True,Before disclosure
Cassandra,1.1.0,CVE-2020-17516,2021-02-03 17:15:13.123000+00:00,2021-02-01 00:00:00+00:00,3.0.24; 3.11.10,1,-2.7189018865740744,True,True,True,Before disclosure
Cassandra,1.1.0,CVE-2025-23015,2025-02-04 12:30:59+00:00,2025-01-27 10:49:02+00:00,3.0.31,1,-8.070798611111112,True,True,True,Before disclosure
Cassandra,1.1.3,CVE-2020-17516,2021-02-03 17:15:13.123000+00:00,2021-02-01 00:00:00+00:00,3.0.24; 3.11.10,1,-2.7189018865740744,True,True,True,Before disclosure
Cassandra,1.1.3,CVE-2025-23015,2025-02-04 12:30:59+00:00,2025-01-27 10:49:02+00:00,3.0.31,1,-8.070798611111112,True,True,True,Before disclosure
Cassandra,1.2.2,CVE-2015-0225,2015-04-01 00:00:00+00:00,2015-04-01 00:00:00+00:00,2.0.14,1,0.0,True,True,True,0–1 day
Cassandra,1.2.2,CVE-2020-17516,2021-02-03 17:15:13.123000+00:00,2021-02-01 00:00:00+00:00,3.0.24; 3.11.10,1,-2.7189018865740744,True,True,True,Before disclosure
Cassandra,1.2.2,CVE-2025-23015,2025-02-04 12:30:59+00:00,2025-01-27 10:49:02+00:00,3.0.31,1,-8.070798611111112,True,True,True,Before disclosure
Cassandra,2.0.2,CVE-2015-0225,2015-04-01 00:00:00+00:00,2015-04-01 00:00:00+00:00,2.0.14,1,0.0,True,True,True,0–1 day
Cassandra,2.0.2,CVE-2020-17516,2021-02-03 17:15:13.123000+00:00,2021-02-01 00:00:00+00:00,3.0.24; 3.11.10,1,-2.7189018865740744,True,True,True,Before disclosure
Cassandra,2.0.2,CVE-2025-23015,2025-02-04 12:30:59+00:00,2025-01-27 10:49:02+00:00,3.0.31,1,-8.070798611111112,True,True,True,Before disclosure
Cassandra,3.4,CVE-2020-13946,2020-09-01 21:15:11.833000+00:00,2020-08-28 13:18:20+00:00,3.11.8,1,-4.331155474537037,True,True,True,Before disclosure
Couchbase,1.5.8,CVE-2019-20444,2020-01-29 21:15:11.047000+00:00,2020-01-29 00:00:00+00:00,,1,-0.885544525462963,True,True,False,Before disclosure
Couchbase,1.5.8,CVE-2019-20445,2020-01-29 21:15:11.110000+00:00,2020-01-29 00:00:00+00:00,,1,-0.8855452546296296,True,True,False,Before disclosure
Couchbase,1.5.8,CVE-2020-11612,2020-04-07 18:15:13.697000+00:00,2020-01-31 00:00:00+00:00,4.1.46,1,-67.76057519675926,True,True,True,Before disclosure
Couchbase,1.7.23,CVE-2020-9040,2020-06-08 16:15:10.273000+00:00,2018-09-01 00:00:00+00:00,2.7.11,1,-646.6772022337963,True,True,True,Before disclosure
Couchbase,1.7.24,CVE-2020-9040,2020-06-08 16:15:10.273000+00:00,2018-09-01 00:00:00+00:00,2.7.11,1,-646.6772022337963,True,True,True,Before disclosure
H2,1.1.119,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.1.119,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.1.119,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.2.125,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.2.125,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.2.125,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.2.128,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.2.128,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.2.128,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.2.132,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,3,213.0506758912037,True,True,True,181–365 days
H2,1.2.132,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,3,-2.1264930555555557,True,True,True,Before disclosure
H2,1.2.132,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,3,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.149,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.3.149,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.149,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.151,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.3.151,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.151,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.153,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.3.153,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.153,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.154,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.3.154,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.154,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.155,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.3.155,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.155,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.158,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,2,213.0506758912037,True,True,True,181–365 days
H2,1.3.158,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,2,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.158,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,2,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.167,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.3.167,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.167,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.168,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,3,213.0506758912037,True,True,True,181–365 days
H2,1.3.168,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,3,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.168,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,3,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.170,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,3,213.0506758912037,True,True,True,181–365 days
H2,1.3.170,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,3,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.170,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,3,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.171,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,2,213.0506758912037,True,True,True,181–365 days
H2,1.3.171,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,2,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.171,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,2,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.172,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,2,213.0506758912037,True,True,True,181–365 days
H2,1.3.172,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,2,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.172,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,2,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.173,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.3.173,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.173,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.175,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,2,213.0506758912037,True,True,True,181–365 days
H2,1.3.175,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,2,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.175,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,2,-4.283877314814815,True,True,True,Before disclosure
H2,1.3.176,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,3,213.0506758912037,True,True,True,181–365 days
H2,1.3.176,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,3,-2.1264930555555557,True,True,True,Before disclosure
H2,1.3.176,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,3,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.177,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.4.177,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.177,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.178,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.4.178,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.178,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.179,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.4.179,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.179,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.180,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.4.180,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.180,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.181,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,3,213.0506758912037,True,True,True,181–365 days
H2,1.4.181,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,3,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.181,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,3,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.182,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,4,213.0506758912037,True,True,True,181–365 days
H2,1.4.182,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,4,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.182,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,4,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.183,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.4.183,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.183,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.184,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,2,213.0506758912037,True,True,True,181–365 days
H2,1.4.184,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,2,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.184,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,2,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.185,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,2,213.0506758912037,True,True,True,181–365 days
H2,1.4.185,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,2,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.185,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,2,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.186,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,2,213.0506758912037,True,True,True,181–365 days
H2,1.4.186,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,2,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.186,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,2,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.187,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,3,213.0506758912037,True,True,True,181–365 days
H2,1.4.187,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,3,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.187,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,3,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.188,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.4.188,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.188,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.189,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.4.189,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.189,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.190,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,3,213.0506758912037,True,True,True,181–365 days
H2,1.4.190,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,3,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.190,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,3,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.191,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,3,213.0506758912037,True,True,True,181–365 days
H2,1.4.191,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,3,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.191,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,3,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.192,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,6,213.0506758912037,True,True,True,181–365 days
H2,1.4.192,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,6,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.192,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,6,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.193,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,5,213.0506758912037,True,True,True,181–365 days
H2,1.4.193,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,5,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.193,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,5,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.194,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,2,213.0506758912037,True,True,True,181–365 days
H2,1.4.194,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,2,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.194,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,2,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.195,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,1,213.0506758912037,True,True,True,181–365 days
H2,1.4.195,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.195,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.196,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,10,213.0506758912037,True,True,True,181–365 days
H2,1.4.196,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,10,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.196,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,10,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.197,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,1.4.198,10,213.0506758912037,True,True,True,181–365 days
H2,1.4.197,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,10,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.197,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,10,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.199,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,7,213.0506758912037,True,True,False,181–365 days
H2,1.4.199,CVE-2021-23463,2021-12-16 14:29:57+00:00,2021-11-29 11:00:04+00:00,2.0.202,7,-17.145752314814814,True,True,True,Before disclosure
H2,1.4.199,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,7,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.199,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,7,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.199,CVE-2022-45868,2022-11-23 21:30:31+00:00,2023-07-05 14:57:30+00:00,2.2.220,7,223.72707175925925,True,True,True,181–365 days
H2,1.4.200,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,15,213.0506758912037,True,True,False,181–365 days
H2,1.4.200,CVE-2021-23463,2021-12-16 14:29:57+00:00,2021-11-29 11:00:04+00:00,2.0.202,15,-17.145752314814814,True,True,True,Before disclosure
H2,1.4.200,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,15,-2.1264930555555557,True,True,True,Before disclosure
H2,1.4.200,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,15,-4.283877314814815,True,True,True,Before disclosure
H2,1.4.200,CVE-2022-45868,2022-11-23 21:30:31+00:00,2023-07-05 14:57:30+00:00,2.2.220,15,223.72707175925925,True,True,True,181–365 days
H2,2.0.202,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,3,213.0506758912037,True,True,False,181–365 days
H2,2.0.202,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,3,-2.1264930555555557,True,True,True,Before disclosure
H2,2.0.202,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,3,-4.283877314814815,True,True,True,Before disclosure
H2,2.0.202,CVE-2022-45868,2022-11-23 21:30:31+00:00,2023-07-05 14:57:30+00:00,2.2.220,3,223.72707175925925,True,True,True,181–365 days
H2,2.0.204,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,1,213.0506758912037,True,True,False,181–365 days
H2,2.0.204,CVE-2021-42392,2022-01-06 23:55:09+00:00,2022-01-04 20:53:00+00:00,2.0.206,1,-2.1264930555555557,True,True,True,Before disclosure
H2,2.0.204,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,1,-4.283877314814815,True,True,True,Before disclosure
H2,2.0.204,CVE-2022-45868,2022-11-23 21:30:31+00:00,2023-07-05 14:57:30+00:00,2.2.220,1,223.72707175925925,True,True,True,181–365 days
H2,2.0.206,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,6,213.0506758912037,True,True,False,181–365 days
H2,2.0.206,CVE-2022-23221,2022-01-21 23:07:39+00:00,2022-01-17 16:18:52+00:00,2.1.210,6,-4.283877314814815,True,True,True,Before disclosure
H2,2.0.206,CVE-2022-45868,2022-11-23 21:30:31+00:00,2023-07-05 14:57:30+00:00,2.2.220,6,223.72707175925925,True,True,True,181–365 days
H2,2.1.210,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,10,213.0506758912037,True,True,False,181–365 days
H2,2.1.210,CVE-2022-45868,2022-11-23 21:30:31+00:00,2023-07-05 14:57:30+00:00,2.2.220,10,223.72707175925925,True,True,True,181–365 days
H2,2.1.212,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,8,213.0506758912037,True,True,False,181–365 days
H2,2.1.212,CVE-2022-45868,2022-11-23 21:30:31+00:00,2023-07-05 14:57:30+00:00,2.2.220,8,223.72707175925925,True,True,True,181–365 days
H2,2.1.214,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,21,213.0506758912037,True,True,False,181–365 days
H2,2.1.214,CVE-2022-45868,2022-11-23 21:30:31+00:00,2023-07-05 14:57:30+00:00,2.2.220,21,223.72707175925925,True,True,True,181–365 days
H2,2.2.220,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,14,213.0506758912037,True,True,False,181–365 days
H2,2.2.222,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,3,213.0506758912037,True,True,False,181–365 days
H2,2.2.224,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,16,213.0506758912037,True,True,False,181–365 days
H2,2.3.230,CVE-2018-14335,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,,3,213.0506758912037,True,True,False,181–365 days
