project_id,project,db,interval_start,interval_end,days,period,active_segments,active_files,active_versions,cves
1,Activiti,PostgreSQL,2013-11-19 00:00:00+00:00,2015-03-23 00:00:00+00:00,489.0,pre_disclosure,1,1,1,CVE-2018-10936
1,Activiti,PostgreSQL,2015-03-23 00:00:00+00:00,2018-08-27 15:43:21+00:00,1253.6551041666667,pre_disclosure,1,1,1,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946; GHSA-xfg6-62px-cxc2
1,Activiti,PostgreSQL,2018-08-27 15:43:21+00:00,2018-08-30 13:29:00.377000+00:00,2.906705752314815,post_resolution,1,1,1,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946; GHSA-xfg6-62px-cxc2
1,Activiti,PostgreSQL,2018-08-30 13:29:00.377000+00:00,2019-09-13 17:15:52+00:00,379.15754193287034,post_resolution,1,1,1,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946; GHSA-xfg6-62px-cxc2
1,Activiti,PostgreSQL,2019-09-13 17:15:52+00:00,2020-06-04 13:16:11+00:00,264.83355324074074,post_resolution,1,1,1,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946; GHSA-xfg6-62px-cxc2
1,Activiti,PostgreSQL,2020-06-04 13:16:11+00:00,2020-06-04 16:15:12.657000+00:00,0.12432473379629629,post_resolution,1,1,1,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946; GHSA-xfg6-62px-cxc2
1,Activiti,PostgreSQL,2020-06-04 16:15:12.657000+00:00,2022-11-23 00:00:00+00:00,901.322770173611,post_resolution,1,1,1,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946; GHSA-xfg6-62px-cxc2
1,Activiti,PostgreSQL,2022-11-23 00:00:00+00:00,2022-11-23 20:15:10.253000+00:00,0.8438686689814815,post_resolution,1,1,1,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946; GHSA-xfg6-62px-cxc2
1,Activiti,PostgreSQL,2022-11-23 20:15:10.253000+00:00,2023-10-13 00:00:00+00:00,323.1561313310185,post_resolution,1,1,1,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946; GHSA-xfg6-62px-cxc2
1,Activiti,PostgreSQL,2023-10-13 00:00:00+00:00,2024-03-11 00:00:00+00:00,150.0,pre_disclosure,1,1,1,CVE-2026-42198
1,Activiti,PostgreSQL,2024-03-11 00:00:00+00:00,2024-11-06 00:00:00+00:00,240.0,pre_disclosure,1,1,1,CVE-2026-42198
1,Activiti,PostgreSQL,2024-11-06 00:00:00+00:00,2024-11-11 00:00:00+00:00,5.0,pre_disclosure,2,2,2,CVE-2025-49146; CVE-2026-42198; CVE-2026-42198
1,Activiti,PostgreSQL,2024-11-11 00:00:00+00:00,2025-06-11 09:55:12+00:00,212.41333333333333,pre_disclosure,1,1,1,CVE-2025-49146; CVE-2026-42198
1,Activiti,PostgreSQL,2025-06-11 09:55:12+00:00,2025-06-11 14:44:04+00:00,0.20060185185185186,post_resolution,1,1,1,CVE-2025-49146; CVE-2026-42198
1,Activiti,PostgreSQL,2025-06-11 14:44:04+00:00,2025-06-13 00:00:00+00:00,1.386064814814815,post_resolution,1,1,1,CVE-2025-49146; CVE-2026-42198
1,Activiti,PostgreSQL,2025-06-13 00:00:00+00:00,2025-06-19 00:00:00+00:00,6.0,post_resolution,2,2,2,CVE-2025-49146; CVE-2026-42198
1,Activiti,PostgreSQL,2025-06-19 00:00:00+00:00,2025-09-22 00:00:00+00:00,95.0,pre_disclosure,1,1,1,CVE-2026-42198
1,Activiti,PostgreSQL,2025-09-22 00:00:00+00:00,2025-09-23 00:00:00+00:00,1.0,pre_disclosure,2,2,2,CVE-2026-42198
1,Activiti,PostgreSQL,2025-09-23 00:00:00+00:00,2026-01-08 00:00:00+00:00,107.0,pre_disclosure,1,1,1,CVE-2026-42198
2,nacos,MySQL,2018-07-21 00:00:00+00:00,2018-09-27 09:18:47+00:00,68.38804398148149,post_resolution,1,7,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2018-09-27 09:18:47+00:00,2019-03-20 19:08:52+00:00,174.4097800925926,post_resolution,1,7,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2019-03-20 19:08:52+00:00,2020-04-15 14:15:36.453000+00:00,391.7963478356482,post_resolution,1,7,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2020-04-15 14:15:36.453000+00:00,2020-06-15 00:00:00+00:00,60.40582809027778,post_resolution,1,7,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2020-06-15 00:00:00+00:00,2020-07-01 17:12:20+00:00,16.716898148148147,post_resolution,1,7,1,CVE-2019-2692; CVE-2020-2934; CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2020-07-01 17:12:20+00:00,2020-07-02 00:00:00+00:00,0.2831018518518518,post_resolution,1,7,1,CVE-2019-2692; CVE-2020-2934; CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2020-07-02 00:00:00+00:00,2020-07-14 00:00:00+00:00,12.0,post_disclosure,1,7,1,CVE-2020-2934; CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2020-07-14 00:00:00+00:00,2021-03-17 00:00:00+00:00,246.0,post_resolution,1,7,1,CVE-2020-2934; CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2021-03-17 00:00:00+00:00,2021-09-28 18:17:43+00:00,195.76230324074075,pre_disclosure,1,11,1,CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2021-09-28 18:17:43+00:00,2021-10-20 11:16:17.117000+00:00,21.70733931712963,post_resolution,1,11,1,CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2021-10-20 11:16:17.117000+00:00,2021-12-16 00:25:41+00:00,56.548193090277785,post_resolution,1,11,1,CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2021-12-16 00:25:41+00:00,2022-01-20 00:00:48+00:00,34.98271990740741,post_resolution,1,11,1,CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2022-01-20 00:00:48+00:00,2022-06-24 00:00:00+00:00,154.99944444444444,post_resolution,1,11,1,CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2022-06-24 00:00:00+00:00,2022-07-07 00:00:00+00:00,13.0,post_resolution,2,28,2,CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
2,nacos,MySQL,2022-07-07 00:00:00+00:00,2023-10-17 22:15:15.100000+00:00,467.92725810185186,pre_disclosure,1,17,1,CVE-2023-22102
2,nacos,MySQL,2023-10-17 22:15:15.100000+00:00,2023-10-25 08:46:05+00:00,7.438077546296297,post_disclosure,1,17,1,CVE-2023-22102
2,nacos,MySQL,2023-10-25 08:46:05+00:00,2024-03-26 00:00:00+00:00,152.63466435185185,post_resolution,1,17,1,CVE-2023-22102
2,nacos,MySQL,2024-03-26 00:00:00+00:00,2024-09-02 00:00:00+00:00,160.0,post_resolution,1,17,1,CVE-2023-22102
6,shiro,Hazelcast,2016-11-10 00:00:00+00:00,2018-10-23 13:23:32+00:00,712.5580092592593,pre_disclosure,1,3,1,CVE-2016-10750; CVE-2023-33265; CVE-2023-45860
6,shiro,Hazelcast,2018-10-23 13:23:32+00:00,2019-06-04 00:00:00+00:00,223.44199074074075,post_resolution,1,3,1,CVE-2016-10750; CVE-2023-33265; CVE-2023-45860
6,shiro,Hazelcast,2019-06-04 00:00:00+00:00,2019-06-19 00:00:00+00:00,15.0,pre_disclosure,1,3,1,CVE-2023-33265; CVE-2023-45860
6,shiro,Hazelcast,2019-06-19 00:00:00+00:00,2020-04-16 00:00:00+00:00,302.0,pre_disclosure,1,3,1,CVE-2023-33265; CVE-2023-45860
6,shiro,Hazelcast,2020-04-16 00:00:00+00:00,2022-10-06 00:00:00+00:00,903.0,pre_disclosure,1,3,1,CVE-2023-33265; CVE-2023-45860
6,shiro,Hazelcast,2022-10-06 00:00:00+00:00,2022-10-10 00:00:00+00:00,4.0,pre_disclosure,2,5,2,CVE-2023-33265; CVE-2023-45860; CVE-2023-45860
6,shiro,Hazelcast,2022-10-10 00:00:00+00:00,2023-01-26 00:00:00+00:00,108.0,pre_disclosure,1,2,1,CVE-2023-45860
6,shiro,Hazelcast,2023-05-18 00:00:00+00:00,2023-06-09 00:00:00+00:00,22.0,pre_disclosure,1,2,1,CVE-2023-45859
6,shiro,Hazelcast,2023-06-09 00:00:00+00:00,2023-08-21 00:00:00+00:00,73.0,pre_disclosure,1,2,1,CVE-2023-45859
6,shiro,Hazelcast,2023-08-21 00:00:00+00:00,2023-08-22 00:00:00+00:00,1.0,pre_disclosure,2,4,2,CVE-2023-45859
6,shiro,Hazelcast,2023-08-22 00:00:00+00:00,2023-10-20 00:00:00+00:00,59.0,pre_disclosure,1,2,1,CVE-2023-45859
6,shiro,Hazelcast,2023-10-20 00:00:00+00:00,2023-10-22 00:00:00+00:00,2.0,pre_disclosure,2,4,2,CVE-2023-45859
6,shiro,Hazelcast,2023-10-22 00:00:00+00:00,2023-10-24 00:00:00+00:00,2.0,pre_disclosure,1,2,1,CVE-2023-45859
6,shiro,HyperSQL,2019-06-13 00:00:00+00:00,2019-06-19 00:00:00+00:00,6.0,pre_disclosure,1,3,1,CVE-2022-41853
6,shiro,HyperSQL,2019-06-19 00:00:00+00:00,2022-10-06 18:17:07.190000+00:00,1205.761888773148,pre_disclosure,1,3,1,CVE-2022-41853
6,shiro,HyperSQL,2022-10-06 18:17:07.190000+00:00,2022-10-22 14:19:43+00:00,15.835136689814815,post_disclosure,1,3,1,CVE-2022-41853
6,shiro,HyperSQL,2022-10-22 14:19:43+00:00,2023-01-26 00:00:00+00:00,95.40297453703704,post_resolution,1,3,1,CVE-2022-41853
7,shardingsphere-elasticjob,H2,2016-08-12 00:00:00+00:00,2018-07-24 13:29:00.603000+00:00,711.5618125347222,pre_disclosure,1,7,1,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
7,shardingsphere-elasticjob,H2,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,213.0506758912037,post_disclosure,1,7,1,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
7,shardingsphere-elasticjob,H2,2019-02-22 14:41:59+00:00,2022-01-04 20:53:00+00:00,1047.257650462963,post_resolution,1,7,1,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
