owner,name,repo_path,has_root_pom,root_pom_path,xml_decl_found,xml_has_bom,xml_has_bytes_before_decl,xml_preamble_preview,root_pom_has_file_tag,root_pom_file_tag_count,erro_no_caminho
apache,struts,/home/camila/repos/apache/struts,True,/home/camila/repos/apache/struts/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
apache,kafka,/home/camila/repos/apache/kafka,False,,False,False,False,,False,0,False
apache,geode,/home/camila/repos/apache/geode,False,,False,False,False,,False,0,False
apache,pdfbox,/home/camila/repos/apache/pdfbox,True,/home/camila/repos/apache/pdfbox/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n\n'",False,0,False
apache,storm,/home/camila/repos/apache/storm,True,/home/camila/repos/apache/storm/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",True,2,False
apache,activemq,/home/camila/repos/apache/activemq,True,/home/camila/repos/apache/activemq/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
apache,maven,/home/camila/repos/apache/maven,True,/home/camila/repos/apache/maven/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
apache,poi,/home/camila/repos/apache/poi,False,,False,False,False,,False,0,False
apache,logging-log4j2,/home/camila/repos/apache/logging-log4j2,False,,False,False,False,,False,0,False
apache,hive,/home/camila/repos/apache/hive,False,,False,False,False,,False,0,False
apache,groovy,/home/camila/repos/apache/groovy,False,,False,False,False,,False,0,False
apache,jmeter,/home/camila/repos/apache/jmeter,False,,False,False,False,,False,0,False
apache,tinkerpop,/home/camila/repos/apache/tinkerpop,True,/home/camila/repos/apache/tinkerpop/pom.xml,False,False,False,b'<!--\nLicensed to the Apache Software Fou',False,0,False
apache,flink,/home/camila/repos/apache/flink,True,/home/camila/repos/apache/flink/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",True,1,False
apache,tomcat,/home/camila/repos/apache/tomcat,False,,False,False,False,,False,0,False
apache,hadoop,/home/camila/repos/apache/hadoop,True,/home/camila/repos/apache/hadoop/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
apache,beam,/home/camila/repos/apache/beam,False,,False,False,False,,False,0,False
apache,ambari,/home/camila/repos/apache/ambari,True,/home/camila/repos/apache/ambari/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
apache,camel,/home/camila/repos/apache/camel,False,,False,False,False,,False,0,False
apereo,cas,/home/camila/repos/apereo/cas,True,/home/camila/repos/apereo/cas/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
asciidocfx,AsciidocFX,/home/camila/repos/asciidocfx/AsciidocFX,True,/home/camila/repos/asciidocfx/AsciidocFX/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
AsyncHttpClient,async-http-client,/home/camila/repos/AsyncHttpClient/async-http-client,True,/home/camila/repos/AsyncHttpClient/async-http-client/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
Athou,commafeed,/home/camila/repos/Athou/commafeed,True,/home/camila/repos/Athou/commafeed/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
Atmosphere,atmosphere,/home/camila/repos/Atmosphere/atmosphere,True,/home/camila/repos/Atmosphere/atmosphere/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
Automattic,simplenote-android,/home/camila/repos/Automattic/simplenote-android,False,,False,False,False,,False,0,False
aws,aws-sdk-java,/home/camila/repos/aws/aws-sdk-java,True,/home/camila/repos/aws/aws-sdk-java/pom.xml,True,False,False,"b'<?xml version=""1.0""?>\n<project xsi:schem'",False,0,False
aws,aws-sdk-java-v2,/home/camila/repos/aws/aws-sdk-java-v2,True,/home/camila/repos/aws/aws-sdk-java-v2/pom.xml,True,False,False,"b'<?xml version=""1.0""?>\n<!--\n  ~ Copyright'",True,1,False
AxonFramework,AxonFramework,/home/camila/repos/AxonFramework/AxonFramework,True,/home/camila/repos/AxonFramework/AxonFramework/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
azkaban,azkaban,/home/camila/repos/azkaban/azkaban,False,,False,False,False,,False,0,False
bazelbuild,bazel,/home/camila/repos/bazelbuild/bazel,False,,False,False,False,,False,0,False
bcgit,bc-java,/home/camila/repos/bcgit/bc-java,False,,False,False,False,,False,0,False
ben-manes,caffeine,/home/camila/repos/ben-manes/caffeine,False,,False,False,False,,False,0,False
bisq-network,bisq,/home/camila/repos/bisq-network/bisq,False,,False,False,False,,False,0,False
bitcoin-wallet,bitcoin-wallet,/home/camila/repos/bitcoin-wallet/bitcoin-wallet,False,,False,False,False,,False,0,False
bitcoinj,bitcoinj,/home/camila/repos/bitcoinj/bitcoinj,False,,False,False,False,,False,0,False
Blankj,AndroidUtilCode,/home/camila/repos/Blankj/AndroidUtilCode,False,,False,False,False,,False,0,False
bonigarcia,webdrivermanager,/home/camila/repos/bonigarcia/webdrivermanager,True,/home/camila/repos/bonigarcia/webdrivermanager/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
bootique,bootique,/home/camila/repos/bootique/bootique,True,/home/camila/repos/bootique/bootique/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
brettwooldridge,HikariCP,/home/camila/repos/brettwooldridge/HikariCP,True,/home/camila/repos/brettwooldridge/HikariCP/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
