owner,name,repo_path,has_root_pom,root_packaging,root_modules_declared_count,classification,total_poms,deployables_count,excluded_count
aws,aws-sdk-java,/home/camila/repos/aws/aws-sdk-java,True,pom,385,MULTI_MODULE,386,383,0
aws,aws-sdk-java-v2,/home/camila/repos/aws/aws-sdk-java-v2,True,pom,42,MULTI_MODULE,487,473,0
AxonFramework,AxonFramework,/home/camila/repos/AxonFramework/AxonFramework,True,pom,16,MULTI_MODULE,28,26,0
azkaban,azkaban,/home/camila/repos/azkaban/azkaban,False,,0,NO_ROOT_POM,0,0,0
bazelbuild,bazel,/home/camila/repos/bazelbuild/bazel,False,,0,NO_ROOT_POM,1,0,0
bcgit,bc-java,/home/camila/repos/bcgit/bc-java,False,,0,NO_ROOT_POM,0,0,0
ben-manes,caffeine,/home/camila/repos/ben-manes/caffeine,False,,0,NO_ROOT_POM,0,0,0
bisq-network,bisq,/home/camila/repos/bisq-network/bisq,False,,0,NO_ROOT_POM,0,0,0
bitcoin-wallet,bitcoin-wallet,/home/camila/repos/bitcoin-wallet/bitcoin-wallet,False,,0,NO_ROOT_POM,0,0,0
bitcoinj,bitcoinj,/home/camila/repos/bitcoinj/bitcoinj,False,,0,NO_ROOT_POM,0,0,0
Blankj,AndroidUtilCode,/home/camila/repos/Blankj/AndroidUtilCode,False,,0,NO_ROOT_POM,0,0,0
bonigarcia,webdrivermanager,/home/camila/repos/bonigarcia/webdrivermanager,True,jar,0,SINGLE_MODULE,1,1,0
bootique,bootique,/home/camila/repos/bootique/bootique,True,pom,8,MULTI_MODULE,9,8,0
brettwooldridge,HikariCP,/home/camila/repos/brettwooldridge/HikariCP,True,bundle,0,SINGLE_MODULE,1,1,0
broadinstitute,gatk,/home/camila/repos/broadinstitute/gatk,False,,0,NO_ROOT_POM,0,0,0
BroadleafCommerce,BroadleafCommerce,/home/camila/repos/BroadleafCommerce/BroadleafCommerce,True,pom,4,MULTI_MODULE,13,10,0
BuildCraft,BuildCraft,/home/camila/repos/BuildCraft/BuildCraft,False,,0,NO_ROOT_POM,0,0,0
bumptech,glide,/home/camila/repos/bumptech/glide,False,,0,NO_ROOT_POM,0,0,0
