owner,name,repo_path,module,status,detail,rel_path,abs_path,depth,nearest_declared_ancestor
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-core-test,undeclared-parent-mismatch(child=org.activiti:activiti-core-common-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core-common/activiti-core-test/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-core-test/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-core-test/activiti-core-test-assertions,undeclared-parent-mismatch(child=org.activiti:activiti-core-test vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core-common/activiti-core-test/activiti-core-test-assertions/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-core-test/activiti-core-test-assertions/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-core-test/activiti-core-test-local-runtime,undeclared-parent-mismatch(child=org.activiti:activiti-core-test vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core-common/activiti-core-test/activiti-core-test-local-runtime/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-core-test/activiti-core-test-local-runtime/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-spring-security,undeclared-parent-mismatch(child=org.activiti:activiti-core-common-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core-common/activiti-spring-security/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-spring-security/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-spring-security-policies,undeclared-parent-mismatch(child=org.activiti:activiti-core-common-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core-common/activiti-spring-security-policies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-spring-security-policies/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-core-common-dependencies,undeclared-parent-mismatch(child=org.activiti:activiti-core-common vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core-common/activiti-core-common-dependencies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-core-common-dependencies/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-expression-language,undeclared-parent-mismatch(child=org.activiti:activiti-core-common-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core-common/activiti-expression-language/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-expression-language/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core,undeclared-with-parent,POM não listado em <modules>,activiti-core/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/pom.xml,0,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-json-converter,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-json-converter/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-json-converter/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-resource-loader,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-resource-loader/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-resource-loader/pom.xml,1,
