owner,name,repo_path,has_root_pom,listed_modules,listed_modules_parent_ok,listed_modules_parent_bad,unlisted_children_parent_ok,coverage_listed_ok_over_listed
jMonkeyEngine,jmonkeyengine,/home/camila/repos/jMonkeyEngine/jmonkeyengine,False,0,0,0,0,0.000
JodaOrg,joda-time,/home/camila/repos/JodaOrg/joda-time,True,0,0,0,0,0.000
jooby-project,jooby,/home/camila/repos/jooby-project/jooby,True,3,3,0,0,1.000
journeyapps,zxing-android-embedded,/home/camila/repos/journeyapps/zxing-android-embedded,False,0,0,0,0,0.000
JSQLParser,JSqlParser,/home/camila/repos/JSQLParser/JSqlParser,True,0,0,0,0,0.000
jtablesaw,tablesaw,/home/camila/repos/jtablesaw/tablesaw,True,10,10,0,0,1.000
junit-team,junit4,/home/camila/repos/junit-team/junit4,True,0,0,0,0,0.000
junit-team,junit5,/home/camila/repos/junit-team/junit5,False,0,0,0,0,0.000
kalessil,phpinspectionsea,/home/camila/repos/kalessil/phpinspectionsea,False,0,0,0,0,0.000
kermitt2,grobid,/home/camila/repos/kermitt2/grobid,False,0,0,0,0,0.000
keycloak,keycloak,/home/camila/repos/keycloak/keycloak,True,22,21,1,4,0.955
kiegroup,jbpm,/home/camila/repos/kiegroup/jbpm,True,21,21,0,2,1.000
