owner,name,repo_path,module_dir,pom_path_rel,pom_path_abs,groupId,artifactId,version,packaging,spring_boot_plugin,is_deployable,deployable_reason,is_excluded
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-core-test,activiti-core-common/activiti-core-test/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-core-test/pom.xml,org.activiti,activiti-core-test,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-core-test/activiti-core-test-assertions,activiti-core-common/activiti-core-test/activiti-core-test-assertions/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-core-test/activiti-core-test-assertions/pom.xml,org.activiti,activiti-core-test-assertions,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-core-test/activiti-core-test-local-runtime,activiti-core-common/activiti-core-test/activiti-core-test-local-runtime/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-core-test/activiti-core-test-local-runtime/pom.xml,org.activiti,activiti-core-test-local-runtime,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-spring-security,activiti-core-common/activiti-spring-security/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-spring-security/pom.xml,org.activiti,activiti-spring-security,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-spring-security-policies,activiti-core-common/activiti-spring-security-policies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-spring-security-policies/pom.xml,org.activiti,activiti-spring-security-policies,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-core-common-dependencies,activiti-core-common/activiti-core-common-dependencies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-core-common-dependencies/pom.xml,org.activiti,activiti-core-common-dependencies,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core-common/activiti-expression-language,activiti-core-common/activiti-expression-language/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core-common/activiti-expression-language/pom.xml,org.activiti,activiti-expression-language,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core,activiti-core/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/pom.xml,org.activiti,activiti-core,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-json-converter,activiti-core/activiti-json-converter/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-json-converter/pom.xml,org.activiti,activiti-json-converter,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-resource-loader,activiti-core/activiti-spring-resource-loader/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-resource-loader/pom.xml,org.activiti,activiti-spring-resource-loader,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
