project,pom_commits
Activiti/Activiti,1343
alibaba/nacos,347
alibaba/fastjson,305
Alluxio/alluxio,802
apache/rocketmq,266
apache/shiro,1160
apache/shardingsphere-elasticjob,373
apache/drill,990
apache/iotdb,919
apache/skywalking,1126
apache/nifi,2977
apache/struts,1367
apache/activemq,2183
apache/tinkerpop,874
apereo/cas,317
asciidocfx/AsciidocFX,192
Athou/commafeed,769
aws/aws-sdk-java,3940
AxonFramework/AxonFramework,1010
bootique/bootique,255
brettwooldridge/HikariCP,430
BroadleafCommerce/BroadleafCommerce,854
checkstyle/checkstyle,3105
confluentinc/ksql,2588
cucumber/cucumber-jvm,1005
dbeaver/dbeaver,816
ebean-orm/ebean,1768
eclipse-vertx/vert.x,382
fabric8io/docker-maven-plugin,597
FasterXML/jackson-databind,454
flyway/flyway,562
geotools/geotools,1272
google/gson,529
google/guice,176
google/error-prone,526
graphhopper/graphhopper,434
haraldk/TwelveMonkeys,304
hcoles/pitest,394
iluwatar/java-design-patterns,590
immutables/immutables,611
INRIA/spoon,1062
internetarchive/heritrix3,287
JanusGraph/janusgraph,1221
jenkinsci/gitlab-plugin,704
jeremylong/DependencyCheck,1577
JodaOrg/joda-time,286
jooby-project/jooby,2540
JSQLParser/JSqlParser,255
jtablesaw/tablesaw,366
kiegroup/jbpm,866
killbill/killbill,938
liquibase/liquibase,1056
magefree/mage,406
manifold-systems/manifold,534
mitreid-connect/OpenID-Connect-Java-Spring-Server,198
moquette-io/moquette,176
MorphiaOrg/morphia,1114
networknt/light-4j,604
nutzam/nutz,131
OpenHFT/Chronicle-Queue,1943
opensourceBIM/BIMserver,689
opentripplanner/OpenTripPlanner,1165
openzipkin/zipkin,1245
prestodb/presto,2508
primefaces/primefaces,1663
psi-probe/psi-probe,2885
qos-ch/logback,696
raphw/byte-buddy,1429
redisson/redisson,1266
runelite/runelite,1113
SpigotMC/BungeeCord,352
spring-projects/spring-data-redis,544
spring-projects/spring-batch,970
springdoc/springdoc-openapi,696
stanfordnlp/CoreNLP,902
strimzi/strimzi-kafka-operator,800
thingsboard/thingsboard,473
undertow-io/undertow,654
UniversalMediaServer/UniversalMediaServer,1603
VertaAI/modeldb,437
vipshop/Saturn,112
vsch/flexmark-java,423
xuxueli/xxl-job,238
zendesk/maxwell,408
