project,pom_commits
Activiti/Activiti,851
alibaba/nacos,269
alibaba/fastjson,305
Alluxio/alluxio,492
apache/rocketmq,214
apache/shiro,854
apache/shardingsphere-elasticjob,209
apache/drill,574
apache/iotdb,559
apache/skywalking,266
apache/nifi,883
apache/struts,758
apache/activemq,1381
apache/tinkerpop,455
apereo/cas,200
asciidocfx/AsciidocFX,192
Athou/commafeed,368
aws/aws-sdk-java,3933
AxonFramework/AxonFramework,702
bootique/bootique,207
brettwooldridge/HikariCP,407
BroadleafCommerce/BroadleafCommerce,545
checkstyle/checkstyle,3105
confluentinc/ksql,2434
cucumber/cucumber-jvm,279
dbeaver/dbeaver,408
ebean-orm/ebean,1438
eclipse-vertx/vert.x,343
fabric8io/docker-maven-plugin,340
FasterXML/jackson-databind,454
flyway/flyway,474
geotools/geotools,565
google/gson,235
google/guice,119
google/error-prone,328
graphhopper/graphhopper,210
haraldk/TwelveMonkeys,164
hcoles/pitest,231
iluwatar/java-design-patterns,444
immutables/immutables,427
INRIA/spoon,635
internetarchive/heritrix3,146
JanusGraph/janusgraph,962
jenkinsci/gitlab-plugin,704
jeremylong/DependencyCheck,1322
JodaOrg/joda-time,260
jooby-project/jooby,1961
JSQLParser/JSqlParser,255
jtablesaw/tablesaw,288
kiegroup/jbpm,245
killbill/killbill,759
liquibase/liquibase,656
magefree/mage,168
manifold-systems/manifold,423
mitreid-connect/OpenID-Connect-Java-Spring-Server,152
moquette-io/moquette,88
MorphiaOrg/morphia,682
networknt/light-4j,525
nutzam/nutz,118
OpenHFT/Chronicle-Queue,1645
opensourceBIM/BIMserver,390
opentripplanner/OpenTripPlanner,978
openzipkin/zipkin,1020
prestodb/presto,1558
primefaces/primefaces,801
psi-probe/psi-probe,2780
qos-ch/logback,532
raphw/byte-buddy,1100
redisson/redisson,724
runelite/runelite,884
SpigotMC/BungeeCord,259
spring-projects/spring-data-redis,544
spring-projects/spring-batch,509
springdoc/springdoc-openapi,631
stanfordnlp/CoreNLP,97
strimzi/strimzi-kafka-operator,493
thingsboard/thingsboard,354
undertow-io/undertow,586
UniversalMediaServer/UniversalMediaServer,1603
VertaAI/modeldb,306
vipshop/Saturn,79
vsch/flexmark-java,363
xuxueli/xxl-job,180
zendesk/maxwell,404
