owner,name,has_external_version_files,files,reason
jenkinsci,jenkins,False,,
jeremylong,DependencyCheck,False,,
JetBrains,intellij-plugins,False,,no_root_pom
jhy,jsoup,False,,
jindrapetrik,jpexs-decompiler,False,,no_root_pom
jitsi,jitsi,False,,
jMonkeyEngine,jmonkeyengine,False,,no_root_pom
JodaOrg,joda-time,False,,
jooby-project,jooby,False,,
journeyapps,zxing-android-embedded,False,,no_root_pom
JSQLParser,JSqlParser,False,,
jtablesaw,tablesaw,False,,
junit-team,junit4,False,,
junit-team,junit5,False,,no_root_pom
kalessil,phpinspectionsea,False,,no_root_pom
kermitt2,grobid,False,,no_root_pom
keycloak,keycloak,False,,
kiegroup,jbpm,False,,
killbill,killbill,False,,
knowm,XChart,False,,
knowm,XChange,False,,
Kong,unirest-java,False,,
konsoletyper,teavm,False,,no_root_pom
kubernetes-client,java,False,,
languagetool-org,languagetool,False,,
LawnchairLauncher,Lawnchair,False,,no_root_pom
libgdx,libgdx,False,,no_root_pom
LibrePDF,OpenPDF,False,,
line,armeria,False,,no_root_pom
linkedin,rest.li,False,,no_root_pom
linkedin,ambry,False,,no_root_pom
liquibase,liquibase,False,,
lukas-krecan,ShedLock,False,,
LWJGL,lwjgl3,False,,
M66B,NetGuard,False,,no_root_pom
mabe02,lanterna,False,,
magefree,mage,False,,
manifold-systems,manifold,False,,
mapstruct,mapstruct,False,,
material-components,material-components-android,False,,no_root_pom
mendhak,gpslogger,False,,no_root_pom
micrometer-metrics,micrometer,False,,no_root_pom
micronaut-projects,micronaut-core,False,,no_root_pom
MinecraftForge,MinecraftForge,False,,no_root_pom
mitreid-connect,OpenID-Connect-Java-Spring-Server,False,,
mock-server,mockserver,False,,
mockito,mockito,False,,no_root_pom
mongodb,mongo-java-driver,False,,no_root_pom
moquette-io,moquette,False,,
MorphiaOrg,morphia,False,,
MovingBlocks,Terasology,False,,no_root_pom
mplushnikov,lombok-intellij-plugin,False,,no_root_pom
msgpack,msgpack-java,False,,no_root_pom
NationalSecurityAgency,ghidra,False,,no_root_pom
naver,ngrinder,False,,no_root_pom
Neamar,KISS,False,,no_root_pom
neo4j-contrib,neo4j-apoc-procedures,False,,no_root_pom
Netflix,genie,False,,no_root_pom
netty,netty,False,,
networknt,light-4j,False,,
nextcloud,android,False,,no_root_pom
nutzam,nutz,False,,
oblac,jodd,False,,no_root_pom
open-keychain,open-keychain,False,,no_root_pom
OpenAPITools,openapi-generator,False,,
OpenHFT,Chronicle-Map,False,,
OpenHFT,Chronicle-Queue,False,,
OpenRefine,OpenRefine,False,,
opensourceBIM,BIMserver,False,,
opentripplanner,OpenTripPlanner,False,,
OpenVidu,openvidu,False,,
openzipkin,brave,False,,
openzipkin,zipkin,False,,
oracle,opengrok,False,,no_root_pom
oracle,graal,False,,no_root_pom
oracle,visualvm,False,,no_root_pom
oshi,oshi,False,,no_root_pom
osmandapp,OsmAnd,False,,no_root_pom
osmdroid,osmdroid,False,,no_root_pom
pac4j,pac4j,False,,no_root_pom
pentaho,pentaho-kettle,False,,
PhilippC,keepass2android,False,,no_root_pom
PhilJay,MPAndroidChart,False,,no_root_pom
pinterest,secor,False,,
plutext,docx4j,False,,
pmd,pmd,False,,
pravega,pravega,False,,no_root_pom
prestodb,presto,False,,
primefaces,primefaces,False,,
processing,processing,False,,no_root_pom
psi-probe,psi-probe,False,,
pytorch,serve,False,,no_root_pom
qos-ch,slf4j,False,,
qos-ch,logback,False,,
QuantumBadger,RedReader,False,,no_root_pom
quarkusio,quarkus,False,,
querydsl,querydsl,False,,
questdb,questdb,False,,
raphw,byte-buddy,False,,
ratpack,ratpack,False,,no_root_pom
ReactiveX,RxJava,False,,no_root_pom
reactor,reactor-core,False,,no_root_pom
reactor,reactor-netty,False,,no_root_pom
real-logic,agrona,False,,no_root_pom
real-logic,simple-binary-encoding,False,,no_root_pom
real-logic,aeron,False,,no_root_pom
redisson,redisson,False,,
remkop,picocli,False,,
rest-assured,rest-assured,False,,
RipMeApp,ripme,False,,
RoaringBitmap,RoaringBitmap,False,,no_root_pom
robolectric,robolectric,False,,no_root_pom
rstudio,rstudio,False,,no_root_pom
runelite,runelite,False,,
scribejava,scribejava,False,,
selenide,selenide,False,,no_root_pom
SeleniumHQ,selenium,False,,no_root_pom
siddhi-io,siddhi,False,,
signalapp,Signal-Android,False,,no_root_pom
simpligility,android-maven-plugin,False,,
skylot,jadx,False,,no_root_pom
slapperwan,gh4a,False,,no_root_pom
sleuthkit,autopsy,False,,no_root_pom
SonarSource,sonarqube,False,,no_root_pom
soot-oss,soot,False,,
SpigotMC,BungeeCord,False,,
spockframework,spock,False,,no_root_pom
SpongePowered,SpongeAPI,False,,no_root_pom
spotbugs,spotbugs,False,,no_root_pom
spring-cloud,spring-cloud-config,False,,
spring-cloud,spring-cloud-gateway,False,,
spring-cloud,spring-cloud-sleuth,False,,
spring-cloud,spring-cloud-netflix,False,,
spring-io,initializr,False,,
spring-projects,spring-kafka,False,,no_root_pom
spring-projects,spring-data-redis,False,,
spring-projects,spring-batch,False,,
spring-projects,spring-security,False,,no_root_pom
spring-projects,spring-integration,False,,no_root_pom
spring-projects,spring-boot,False,,no_root_pom
springdoc,springdoc-openapi,False,,
stanfordnlp,CoreNLP,False,,
strimzi,strimzi-kafka-operator,False,,
swagger-api,swagger-core,False,,
syncthing,syncthing-android,False,,no_root_pom
TEAMMATES,teammates,False,,no_root_pom
TeamNewPipe,NewPipe,False,,no_root_pom
TechEmpower,FrameworkBenchmarks,False,,no_root_pom
testcontainers,testcontainers-java,False,,no_root_pom
theonedev,onedev,False,,
thingsboard,thingsboard,False,,
tlaplus,tlaplus,False,,
traccar,traccar,False,,no_root_pom
trinodb,trino,False,,
tronprotocol,java-tron,False,,no_root_pom
Twitter4J,Twitter4J,False,,no_root_pom
ukanth,afwall,False,,no_root_pom
unclebob,fitnesse,False,,no_root_pom
undertow-io,undertow,False,,
UniversalMediaServer,UniversalMediaServer,False,,
vaadin,framework,False,,
validator,validator,False,,no_root_pom
vavr-io,vavr,False,,
VertaAI,modeldb,False,,
vespa-engine,vespa,False,,
vigna,fastutil,False,,no_root_pom
vipshop,Saturn,False,,
vsch,flexmark-java,False,,
webbukkit,dynmap,False,,no_root_pom
wildfly,wildfly,False,,
winder,Universal-G-Code-Sender,False,,
xuxueli,xxl-job,False,,
yacy,yacy_search_server,False,,no_root_pom
zaproxy,zaproxy,False,,no_root_pom
zendesk,maxwell,False,,
zxing,zxing,False,,
liferay,liferay-portal,False,,no_root_pom
